RowID,Name,Name_English,Prep_Time,Cook_Time,CatID,Type,Type_English,Page,Mom_Recipe_Ind,Ingredientes,Direcciones,Text,Ingredients_English,Directions_English,English_Full_Text
1,Aderezo Cesar Casero,Homemade Caesar Dressing,5,0,901,"Aderezos, Salsas y Dips","Dressings, Sauces, and Dips",10,0,"1 taza de mayonesa<br>2 dientes de ajo rallado finamente<br>1 cucharada de alcaparras picadas<br>½ cucharadita de salsa inglesa<br>2 gotitas de salsa tabasco<br>1 cucharadita de queso parmesano<br>Sal y pimienta, al gusto<br>1 filete de anchoas (picada finamente)<br>","Batir  todos los ingredientes con la batidora eléctrica, agrega las anchoas picadas y sírvase sobre la ensalada o en un frasco para aderezo.","1 taza de mayonesa<br>2 dientes de ajo rallado finamente<br>1 cucharada de alcaparras picadas<br>½ cucharadita de salsa inglesa<br>2 gotitas de salsa tabasco<br>1 cucharadita de queso parmesano<br>Sal y pimienta, al gusto<br>1 filete de anchoas (picada finamente)<br><br>Batir  todos los ingredientes con la batidora eléctrica, agrega las anchoas picadas y sírvase sobre la ensalada o en un frasco para aderezo.",1 cup of mayonnaise<br>2 garlic cloves finely grated<br>1 tablespoon chopped capers<br>½ teaspoon Worcestershire sauce<br>2 drops of Tabasco sauce<br>1 teaspoon Parmesan cheese<br>Salt and pepper to taste<br>1 anchovy fillet (finely chopped)<br>,"Beat all the ingredients with the electric mixer, add the chopped anchovies and serve over the salad or in a dressing jar.","1 cup of mayonnaise<br>2 garlic cloves finely grated<br>1 tablespoon chopped capers<br>½ teaspoon Worcestershire sauce<br>2 drops of Tabasco sauce<br>1 teaspoon Parmesan cheese<br>Salt and pepper to taste<br>1 anchovy fillet (finely chopped)<br><br>Beat all the ingredients with the electric mixer, add the chopped anchovies and serve over the salad or in a dressing jar."
2,Aderezo Cesar,Caesar Dressing,5,0,901,"Aderezos, Salsas y Dips","Dressings, Sauces, and Dips",10,0,1/3 de taza aceite de olivo con ajo<br>2 cucharadas de vinagre <br>¼  de taza de jugo de limón<br>1 huevo pasado por agua caliente<br>Pimienta y sal<br>½  cucharadita de salsa Inglesa (Worcestershire sauce)<br>1 filete de anchoas picadas finamente.<br>,"Mezcla con un batidor manual todos los ingredientes.<br> <br>Coloca la lechuga en un platón previamente enfriado, ponle el aderezo, queso parmesano rallado y cortones al gusto.","1/3 de taza aceite de olivo con ajo<br>2 cucharadas de vinagre <br>¼  de taza de jugo de limón<br>1 huevo pasado por agua caliente<br>Pimienta y sal<br>½  cucharadita de salsa Inglesa (Worcestershire sauce)<br>1 filete de anchoas picadas finamente.<br><br>Mezcla con un batidor manual todos los ingredientes.<br> <br>Coloca la lechuga en un platón previamente enfriado, ponle el aderezo, queso parmesano rallado y cortones al gusto.",1/3 cup olive oil with garlic<br>2 tablespoons vinegar<br>¼ cup lemon juice<br>1 boiled egg<br>Pepper and salt<br>½ teaspoon English sauce (Worcestershire sauce)<br>1 fillet of finely chopped anchovies.<br>,"Mix all the ingredients with a hand mixer.<br> <br>Place the lettuce on a previously cooled platter, add the dressing, grated Parmesan cheese and slices to taste.","1/3 cup olive oil with garlic<br>2 tablespoons vinegar<br>¼ cup lemon juice<br>1 boiled egg<br>Pepper and salt<br>½ teaspoon English sauce (Worcestershire sauce)<br>1 fillet of finely chopped anchovies.<br><br>Mix all the ingredients with a hand mixer.<br> <br>Place the lettuce on a previously cooled platter, add the dressing, grated Parmesan cheese and slices to taste."
3,Mayonesa Casera,Homemade Mayonnaise,5,0,901,"Aderezos, Salsas y Dips","Dressings, Sauces, and Dips",10,0,1huevo<br>1cucharadita de mostaza<br>1 limón (jugo)<br>½ cucharadita de sal de cebolla<br>½ cucharadita de sal de ajo<br>1 cucharadita de consomé de pollo en polvo<br>1 cucharadita de jugo sazonador Maggi<br>1 cucharadita de salsa de soya<br>½ cucharadita de pimienta molida<br>Aceite el necesario<br>,"Se coloca todo en un recipiente de plástico alto (para que haya espacio al volumen) y se bate a velocidad media, poco a poco se le agrega el aceite hasta que espese y llegue al punto de tu gusto.","1huevo<br>1cucharadita de mostaza<br>1 limón (jugo)<br>½ cucharadita de sal de cebolla<br>½ cucharadita de sal de ajo<br>1 cucharadita de consomé de pollo en polvo<br>1 cucharadita de jugo sazonador Maggi<br>1 cucharadita de salsa de soya<br>½ cucharadita de pimienta molida<br>Aceite el necesario<br><br>Se coloca todo en un recipiente de plástico alto (para que haya espacio al volumen) y se bate a velocidad media, poco a poco se le agrega el aceite hasta que espese y llegue al punto de tu gusto.",1 egg<br>1 teaspoon mustard<br>1 lemon (juice)<br>½ teaspoon onion salt<br>½ teaspoon garlic salt<br>1 teaspoon chicken bouillon powder<br>1 teaspoon Maggi seasoning juice<br>1 teaspoon soy sauce<br>½ teaspoon ground pepper<br>Oil the necessary<br>,"Everything is placed in a high plastic container (so that there is room for the volume) and is beaten at medium speed, little by little the oil is added until it thickens and reaches the point of your liking.","1 egg<br>1 teaspoon mustard<br>1 lemon (juice)<br>½ teaspoon onion salt<br>½ teaspoon garlic salt<br>1 teaspoon chicken bouillon powder<br>1 teaspoon Maggi seasoning juice<br>1 teaspoon soy sauce<br>½ teaspoon ground pepper<br>Oil the necessary<br><br>Everything is placed in a high plastic container (so that there is room for the volume) and is beaten at medium speed, little by little the oil is added until it thickens and reaches the point of your liking."
4,Aderezo de Jamaica,Jamaica Dressing,5,0,901,"Aderezos, Salsas y Dips","Dressings, Sauces, and Dips",11,1,½ taza de flores de Jamaica<br>1 cucharada de miel<br>¼ taza de vinagre de manzana<br>2/3 taza de aceite de olivo<br>Sal y pimienta al gusto<br>,"Hervir la Jamaica con 2/3 de taza de agua, hasta que se reduzca a dos cucharadas y colarla.<br>Mezclar el concentrado de Jamaica con el resto de los ingredientes, refrigéralo en un frasco limpio.","½ taza de flores de Jamaica<br>1 cucharada de miel<br>¼ taza de vinagre de manzana<br>2/3 taza de aceite de olivo<br>Sal y pimienta al gusto<br><br>Hervir la Jamaica con 2/3 de taza de agua, hasta que se reduzca a dos cucharadas y colarla.<br>Mezclar el concentrado de Jamaica con el resto de los ingredientes, refrigéralo en un frasco limpio.",½ cup of Jamaica flowers<br>1 tablespoon of honey<br>¼ cup apple cider vinegar<br>2/3 cup olive oil<br>Salt and pepper to taste<br>,"Boil the Jamaica with 2/3 of a cup of water, until it is reduced to two tablespoons and strain it.<br>Mix the Jamaica concentrate with the rest of the ingredients, refrigerate it in a clean jar.","½ cup of Jamaica flowers<br>1 tablespoon of honey<br>¼ cup apple cider vinegar<br>2/3 cup olive oil<br>Salt and pepper to taste<br><br>Boil the Jamaica with 2/3 of a cup of water, until it is reduced to two tablespoons and strain it.<br>Mix the Jamaica concentrate with the rest of the ingredients, refrigerate it in a clean jar."
5,Dip de Atún,Tuna Dip,10,0,901,"Aderezos, Salsas y Dips","Dressings, Sauces, and Dips",11,0,1 lata de atún <br>¼  taza de mayonesa<br>¼  taza de crema <br>¼  taza de cebolla finamente picada <br>¼  taza de cilantro picado Chile chipotle al gusto <br>1 cucharadita de consomé de pollo en polvo<br>,"Licúa todos los ingredientes y agrégale 1  lata de atún desmenuzado. Refrigéralo antes de servirlo. Decóralo con nuez picadita o con hierbas finas, como eneldo y perejil.","1 lata de atún <br>¼  taza de mayonesa<br>¼  taza de crema <br>¼  taza de cebolla finamente picada <br>¼  taza de cilantro picado Chile chipotle al gusto <br>1 cucharadita de consomé de pollo en polvo<br><br>Licúa todos los ingredientes y agrégale 1  lata de atún desmenuzado. Refrigéralo antes de servirlo. Decóralo con nuez picadita o con hierbas finas, como eneldo y perejil.",1 can of tuna<br>¼ cup mayonnaise<br>¼ cup cream<br>¼ cup onion finely chopped<br>¼ cup chopped coriander Chipotle chile to taste<br>1 teaspoon chicken bouillon powder<br>,"Blend all the ingredients and add 1 can of shredded tuna. Refrigerate before serving. Garnish with minced walnuts or with fine herbs, such as dill and parsley.","1 can of tuna<br>¼ cup mayonnaise<br>¼ cup cream<br>¼ cup onion finely chopped<br>¼ cup chopped coriander Chipotle chile to taste<br>1 teaspoon chicken bouillon powder<br><br>Blend all the ingredients and add 1 can of shredded tuna. Refrigerate before serving. Garnish with minced walnuts or with fine herbs, such as dill and parsley."
6,Dip de Queso,Cheese Dip,10,5,901,"Aderezos, Salsas y Dips","Dressings, Sauces, and Dips",11,0,Un queso crema Filadelfia de 8 oz Salsa de soya<br>Ajonjolí tostado<br>,"El queso lo picas con un tenedor, para que al  bañarlo  con la salsa de soya penetre. Refrigéralo, tapado con plástico. Antes de servirlo decóralo con el ajonjolí dorado.","Un queso crema Filadelfia de 8 oz Salsa de soya<br>Ajonjolí tostado<br><br>El queso lo picas con un tenedor, para que al  bañarlo  con la salsa de soya penetre. Refrigéralo, tapado con plástico. Antes de servirlo decóralo con el ajonjolí dorado.",One 8 oz Philadelphia cream cheese Soy sauce<br>Toasted sesame<br>,"The cheese is chopped with a fork, so that when you bathe it with the soy sauce it penetrates. Refrigerate, covered with plastic. Before serving, decorate it with the golden sesame seeds.","One 8 oz Philadelphia cream cheese Soy sauce<br>Toasted sesame<br><br>The cheese is chopped with a fork, so that when you bathe it with the soy sauce it penetrates. Refrigerate, covered with plastic. Before serving, decorate it with the golden sesame seeds."
7,Dip de Salchichas,Sausage Dip,10,10,901,"Aderezos, Salsas y Dips","Dressings, Sauces, and Dips",12,0,"2 salchichas<br>Jugo de 1 limón<br>¼ cucharadita de jugo sazonador Maggi,<br>¼ cucharadita de salsa Inglesa (worcestershire sauce) Chile piquín en polvo al gusto<br>6 aceitunas<br>1 cucharadita de consomé de pollo en polvo.<br>","Se licuan todos los ingredientes juntos.<br>Sírvelo con galletas saladas, tortillas tostadas o tostaditas de pita.","2 salchichas<br>Jugo de 1 limón<br>¼ cucharadita de jugo sazonador Maggi,<br>¼ cucharadita de salsa Inglesa (worcestershire sauce) Chile piquín en polvo al gusto<br>6 aceitunas<br>1 cucharadita de consomé de pollo en polvo.<br><br>Se licuan todos los ingredientes juntos.<br>Sírvelo con galletas saladas, tortillas tostadas o tostaditas de pita.","2 sausages<br>Juice of 1 lemon<br>¼ teaspoon Maggi seasoning juice,<br>¼ teaspoon Worcestershire sauce Piqu­n chili powder to taste<br>6 olives<br>1 teaspoon chicken bouillon powder.<br>","All the ingredients are blended together.<br>Serve with crackers, toasted tortillas, or pita chips.","2 sausages<br>Juice of 1 lemon<br>¼ teaspoon Maggi seasoning juice,<br>¼ teaspoon Worcestershire sauce Piqu­n chili powder to taste<br>6 olives<br>1 teaspoon chicken bouillon powder.<br><br>All the ingredients are blended together.<br>Serve with crackers, toasted tortillas, or pita chips."
8,Rollito de Queso Con Ostiones,Cheese Rolls with Scallops,10,10,901,"Aderezos, Salsas y Dips","Dressings, Sauces, and Dips",12,0,1 queso crema Filadelfia (8 oz)<br>1 lata de ostiones ahumados drenados y cortados finamente.<br>,"Coloca el queso entre papel encerado, con un palote o rodillo extiende el queso a que quede ½ pulgada de grueso. Retira el papel de encima y coloca los ostiones a lo largo del queso. Con la ayuda del papel encerado enrolla  el queso a manera de que los ostiones queden en el centro,  quita el papel.<br>Adórnalo con ajonjolí dorado y  refrigéralo. (Para dorar el ajonjolí, esparce el ajonjolí sobre un plato y mételo al horno de micro hondas  durante 3 minutos.<br>Sírvelo con las galletas de tu preferencia.","1 queso crema Filadelfia (8 oz)<br>1 lata de ostiones ahumados drenados y cortados finamente.<br><br>Coloca el queso entre papel encerado, con un palote o rodillo extiende el queso a que quede ½ pulgada de grueso. Retira el papel de encima y coloca los ostiones a lo largo del queso. Con la ayuda del papel encerado enrolla  el queso a manera de que los ostiones queden en el centro,  quita el papel.<br>Adórnalo con ajonjolí dorado y  refrigéralo. (Para dorar el ajonjolí, esparce el ajonjolí sobre un plato y mételo al horno de micro hondas  durante 3 minutos.<br>Sírvelo con las galletas de tu preferencia.",1 Philadelphia cream cheese (8 oz)<br>1 can of smoked oysters drained and finely sliced.<br>,"Place the cheese between waxed paper, with a rolling pin or rolling pin, spread the cheese until it is ½ inch thick. Remove the paper from the top and place the oysters along the cheese. With the help of the waxed paper, roll the cheese so that the oysters are in the center, remove the paper.<br>Garnish with golden sesame seeds and refrigerate. (To brown the sesame, spread the sesame on a plate and put it in the microwave oven for 3 minutes.<br>Serve it with the cookies of your choice.","1 Philadelphia cream cheese (8 oz)<br>1 can of smoked oysters drained and finely sliced.<br><br>Place the cheese between waxed paper, with a rolling pin or rolling pin, spread the cheese until it is ½ inch thick. Remove the paper from the top and place the oysters along the cheese. With the help of the waxed paper, roll the cheese so that the oysters are in the center, remove the paper.<br>Garnish with golden sesame seeds and refrigerate. (To brown the sesame, spread the sesame on a plate and put it in the microwave oven for 3 minutes.<br>Serve it with the cookies of your choice."
9,Dip de Queso y Paté,Cheese and Pate Dip,10,10,901,"Aderezos, Salsas y Dips","Dressings, Sauces, and Dips",12,0,1 queso crema Filadelfia (8 oz)<br>1 paquete de paté (6 oz) Perejil al gusto<br>Chile jalapeño al gusto<br>,"Coloca todos los ingredientes en el procesador de comidas, y bátelo. Haz  una bola y  cúbrela de nuez picada. Refrigéralo por un par de horas. Sírvelo  en una tabla para quesos con galletas de tu preferencia","1 queso crema Filadelfia (8 oz)<br>1 paquete de paté (6 oz) Perejil al gusto<br>Chile jalapeño al gusto<br><br>Coloca todos los ingredientes en el procesador de comidas, y bátelo. Haz  una bola y  cúbrela de nuez picada. Refrigéralo por un par de horas. Sírvelo  en una tabla para quesos con galletas de tu preferencia",1 Philadelphia cream cheese (8 oz)<br>1 package of pate (6 oz) Parsley to taste<br>Jalapeno pepper to taste<br>,"Place all the ingredients in the food processor, and blend. Make a ball and cover it with chopped walnut. Refrigerate for a couple of hours. Serve on a cheese board with crackers of your choice","1 Philadelphia cream cheese (8 oz)<br>1 package of pate (6 oz) Parsley to taste<br>Jalapeno pepper to taste<br><br>Place all the ingredients in the food processor, and blend. Make a ball and cover it with chopped walnut. Refrigerate for a couple of hours. Serve on a cheese board with crackers of your choice"
10,Dip de Queso Crema,Cream Cheese Dip,10,10,901,"Aderezos, Salsas y Dips","Dressings, Sauces, and Dips",12,0,1 queso crema (8 oz)<br>2 cucharaditas de consomé de pollo en polvo<br>Pimienta al gusto<br>½ cucharadita de sal de ajo<br>2 cebollas de rabo picadas<br>¼ de taza de leche<br>,"En  el  procesador  de  comidas  coloca  todos  los  ingredientes,  y  procesa  hasta  que  quede  la consistencia que desees. ","1 queso crema (8 oz)<br>2 cucharaditas de consomé de pollo en polvo<br>Pimienta al gusto<br>½ cucharadita de sal de ajo<br>2 cebollas de rabo picadas<br>¼ de taza de leche<br><br>En  el  procesador  de  comidas  coloca  todos  los  ingredientes,  y  procesa  hasta  que  quede  la consistencia que desees. ","1 cream cheese (8 oz)<br>2 teaspoons chicken bouillon powder<br>Pepper to taste<br>½ teaspoon garlic salt<br>2 oxtail onions, chopped<br>¼ cup of milk<br>","In the food processor place all the ingredients, and process until it is the consistency you want.","1 cream cheese (8 oz)<br>2 teaspoons chicken bouillon powder<br>Pepper to taste<br>½ teaspoon garlic salt<br>2 oxtail onions, chopped<br>¼ cup of milk<br><br>In the food processor place all the ingredients, and process until it is the consistency you want."
